DISTRICT,FIRST_STAT,TotalHHMango,Area,Total number of holdings of mango under compact plantations of productive age,Total area (ha) of holdings of mango under compact plantations of productive age,Total number of trees of mango under compact plantations of productive age,Total number of holdings of mango under compact plantations of non_productive age,Total area (ha) of holdings of mango under compact plantations of non_productive age,Total number of trees of mango under compact plantations of non_productive age,Total number of scattered trees of mango that are currently in their productive age,Total number of scattered treesof mango that are currently in their non_productive age,fid,DISTRICT,FIRST_STAT
ACHHAM,7,9380,41.9,2742,36.3,34362,910,5.6,3805,15126,7477,1,ACHHAM,7
ARGHAKHANCHI,5,16264,31.7,2103,22.7,12727,433,9.1,2845,22474,19145,2,ARGHAKHANCHI,5
BAGLUNG,4,2151,0.9,101,0.7,301,29,0.2,145,3234,1748,3,BAGLUNG,4
BAITADI,7,13048,36,2605,26.3,13336,676,9.7,4680,41926,20771,4,BAITADI,7
BAJHANG,7,2064,12.6,532,11.3,3710,162,1.3,1610,3047,2944,5,BAJHANG,7
BAJURA,7,489,0.7,87,0.6,332,65,0.2,301,523,791,6,BAJURA,7
BANKE,5,24020,294.8,2919,262.3,38241,761,32.4,9765,49125,28243,7,BANKE,5
BARA,2,7205,242.5,2829,209.9,34271,787,32.6,7023,18533,8556,8,BARA,2
BARDIYA,5,52754,67.8,1727,50.9,17762,726,16.9,12283,94626,61291,9,BARDIYA,5
BHAKTAPUR,3,631,4.6,93,1.1,937,42,3.5,704,463,456,10,BHAKTAPUR,3
BHOJPUR,1,3823,42.2,800,24.5,6488,761,17.7,6250,5955,7142,11,BHOJPUR,1
CHITAWAN,3,40878,33.7,2427,24.1,9178,532,9.6,2212,49645,24792,12,CHITAWAN,3
DADELDHURA,7,15020,49.6,1394,33.1,16818,609,16.5,11425,35593,25638,13,DADELDHURA,7
DAILEKH,6,7026,87,2876,63.8,27167,945,23.2,11479,15267,9617,14,DAILEKH,6
DANG,5,40131,184.3,9146,132.3,34308,3306,52,11736,63189,39799,15,DANG,5
DARCHULA,7,7174,11.8,691,9.3,8201,211,2.6,2590,18890,8965,16,DARCHULA,7
DHADING,3,11605,49,1397,39.2,14048,502,9.8,6862,18235,11556,17,DHADING,3
DHANKUTA,1,7727,303.6,2162,213,50844,1049,90.6,101565,13457,13656,18,DHANKUTA,1
DHANUSHA,2,41341,"3,466.70",29598,"3,038.70",625594,7883,428,94784,158257,52456,19,DHANUSHA,2
DOLAKHA,3,1809,7.9,354,6.9,3416,99,1,376,1596,1506,20,DOLAKHA,3
DOLPA,6,, -   , -   ,, -   ,0,,0,0,0,21,DOLPA,6
DOTI,7,8960,19.2,1094,15,6675,478,4.2,2439,13396,10482,22,DOTI,7
GORKHA,4,8998,39.3,1256,31.8,11058,431,7.5,4763,9817,9687,23,GORKHA,4
GULMI,5,9243,19.4,436,14.6,4604,193,4.8,663,13425,10533,24,GULMI,5
HUMLA,6,8,0.2,8,0.1,1596,8,0.1,798,646,399,25,HUMLA,6
ILAM,1,12754,12.3,310,10.2,5851,56,2.1,997,20941,9562,26,ILAM,1
JAJARKOT,6,4430,36.8,1074,18.4,8674,704,18.4,11867,9116,8137,27,JAJARKOT,6
JHAPA,1,83624,60,2557,50.1,16508,722,9.9,5025,144467,60090,28,JHAPA,1
JUMLA,6,, -   , -   ,, -   ,0,,0,0,0,29,JUMLA,6
KABHREPALANCHOK,3,13529,47.9,1681,32.3,10586,666,15.6,4379,16810,11147,30,KABHREPALANCHOK,3
KAILALI,7,71848,90.8,4813,70.8,34343,1139,20,8286,135070,72984,31,KAILALI,7
KALIKOT,6,277,1.4,112,0.6,441,88,0.8,515,185,149,32,KALIKOT,6
KANCHANPUR,7,70615,37,1218,32.1,9436,470,4.9,2512,146540,81311,33,KANCHANPUR,7
KAPILBASTU,5,25743,810.2,8492,646.3,92197,2442,163.8,26118,38342,19747,34,KAPILBASTU,5
KASKI,4,5516,46.7,292,1,1001,552,45.6,6921,5182,6638,35,KASKI,4
KATHMANDU,3,3355,0, -   ,, -   ,15,0,15,5851,2083,36,KATHMANDU,3
KHOTANG,1,8958,24.9,560,10.4,3469,240,14.6,3577,13474,8344,37,KHOTANG,1
LALITPUR,3,531,1.1,107,0.6,180,89,0.4,162,743,782,38,LALITPUR,3
LAMJUNG,4,3358,13.9,285,10.9,3492,150,3,894,4090,3035,39,LAMJUNG,4
MAHOTTARI,2,25835,"2,582.20",19199,"2,363.30",372216,3369,218.9,51768,106234,40538,40,MAHOTTARI,2
MAKAWANPUR,3,12028,59.1,1576,46.5,16583,605,12.7,7617,21607,13131,41,MAKAWANPUR,3
MANANG,4,, -   , -   ,, -   ,0,,0,0,0,42,MANANG,4
MORANG,1,76428,102.3,2671,83.9,21971,911,18.4,6881,140271,67696,43,MORANG,1
MUGU,6,, -   , -   ,, -   ,0,,0,0,0,44,MUGU,6
MUSTANG,4,, -   , -   ,, -   ,0,,0,0,0,45,MUSTANG,4
MYAGDI,4,596,1.6,74,1.4,2695,29,0.1,154,409,492,46,MYAGDI,4
NAWALPARASI_E,4,27226,27.9,1972,22.2,7437,523,5.8,2395,35092,17956,47,NAWALPARASI_E,4
NAWALPARASI_W,5,18019,94.7,1760,64.9,31548,469,29.8,35643,24581,12514,48,NAWALPARASI_W,5
NUWAKOT,3,9864,30.9,1158,24,10375,379,6.9,4202,12986,6184,49,NUWAKOT,3
OKHALDHUNGA,1,6726,26.6,361,15.7,4002,139,11,3736,12730,16108,50,OKHALDHUNGA,1
PALPA,5,19260,36.2,1425,18.3,6823,1022,17.9,9797,25718,24911,51,PALPA,5
PANCHTHAR,1,5610,93.4,1434,75.2,15025,449,18.2,9252,8873,7297,52,PANCHTHAR,1
PARBAT,4,4349,4.7,355,2.4,1571,324,2.3,1407,3104,4202,53,PARBAT,4
PARSA,2,7256,281.8,2915,231.2,43980,823,50.6,10527,18024,6810,54,PARSA,2
PYUTHAN,5,13734,10,400,6.5,2515,328,3.5,1755,23987,22817,55,PYUTHAN,5
RAMECHHAP,3,9203,18.7,343,7,3576,389,11.8,4731,13622,13966,56,RAMECHHAP,3
RASUWA,3,239,0.2,41,0.2,137,8,0,16,149,208,57,RASUWA,3
RAUTAHAT,2,14118,872.8,7485,743.1,140648,1708,129.7,123530,36179,16660,58,RAUTAHAT,2
ROLPA,5,3186,7.4,220,3.3,1163,229,4.1,1423,6491,6237,59,ROLPA,5
RUKUM_E,5,127,0.1,11,0.1,79,0,,0,96,96,60,RUKUM_E,5
RUKUM_W,6,4421,24.1,472,19.3,17711,315,4.8,2989,9120,13297,61,RUKUM_W,6
RUPANDEHI,5,40462,276.6,6092,216.7,59220,2489,59.9,18176,68996,38405,62,RUPANDEHI,5
SALYAN,6,10903,25.9,651,13.3,3923,671,12.6,5284,20991,25787,63,SALYAN,6
SANKHUWASABHA,1,3937,38.5,466,27.3,5787,327,11.3,3854,5435,3496,64,SANKHUWASABHA,1
SAPTARI,2,39263,"2,696.40",18984,"2,358.70",319686,5771,337.7,60019,109369,49034,65,SAPTARI,2
SARLAHI,2,19591,"1,139.20",7559,891.4,150807,2945,247.8,54486,65162,32453,66,SARLAHI,2
SINDHULI,3,21524,256.2,4945,192.3,36020,1555,63.8,15351,29069,20215,67,SINDHULI,3
SINDHUPALCHOK,3,9981,22.1,745,20.8,4264,126,1.4,451,11100,10324,68,SINDHUPALCHOK,3
SIRAHA,2,43203,"4,151.70",29216,"3,758.80",581453,5678,392.8,62824,148979,35953,69,SIRAHA,2
SOLUKHUMBU,1,228,3.4,88,2.6,598,33,0.7,170,622,217,70,SOLUKHUMBU,1
SUNSARI,1,56799,143.1,4095,125.9,39134,1174,17.2,7068,113299,48129,71,SUNSARI,1
SURKHET,6,34041,137.1,5180,105.9,51433,2096,31.2,22969,68547,44963,72,SURKHET,6
SYANGJA,4,7408,13.4,397,10.6,1901,264,2.9,1291,9617,6266,73,SYANGJA,4
TANAHU,4,16035,54.3,3137,38.4,16349,825,15.9,7934,15851,14593,74,TANAHU,4
TAPLEJUNG,1,2490,10.5,383,8.8,1007,124,1.7,574,4550,2076,75,TAPLEJUNG,1
TERHATHUM,1,1905,12,241,8.1,1965,118,3.9,1285,2827,1939,76,TERHATHUM,1
UDAYAPUR,1,25822,296.2,7164,245.5,72294,1385,50.6,17714,41767,18971,77,UDAYAPUR,1
